filename	verdict	reason
SCHEMA.md	KEEP	Structural — defines lesson format/contract for curator consumers. Not a lesson; must stay.
2026-05-17-w3-geo-walk-intra.md	KEEP	Unique gotcha promoted to CLAUDE.md (SAVEPOINT under transaction:none kills all integration suites). Keep as full source until learning-curator digests.
2026-05-03-feedback-loop-interne-t21.md	DELETE	Trigger-only stub; worked/failed/surprises/actions all _no data captured_. No gotcha.
2026-05-04-f2-museummapview-refactor.md	DELETE	All 5 sections _no data captured_. Empty stub, zero signal.
2026-05-07-finish-d1-d2.md	DELETE	Unfilled template placeholders mixed w/ prebuild log. No durable lesson.
2026-05-10-pr-255-c2-c3-rbac-ci-fixes.md	DELETE	Absorbed-in-CLAUDE — 3 gotchas (nginx var proxy_pass, BullMQ eager Redis, /api/health) verbatim in Pièges connus.
2026-05-12-download-no-feedback-transparency.md	DELETE	All sections _no data captured_, durationMs 0. Empty stub.
2026-05-12-llm-guard-circuit-breaker.md	DELETE	Empty stub; LLM Guard circuit-breaker doctrine lives in CLAUDE.md AI Safety (absorbed-in-CLAUDE).
2026-05-12-llm-guard-resilience-enterprise.md	DELETE	Near-dup empty stub of same-day llm-guard run; doctrine in CLAUDE.md (absorbed-in-CLAUDE).
2026-05-19-cluster-9-cert-pinning-hardening.md	DELETE	Unfilled template placeholders. Cert-pinning runbook already in memory + frontend docs (absorbed).
2026-05-19-cluster5-jwt-ratelimit.md	DELETE	All sections _no data captured_. Empty stub.
2026-05-19-sentry-otel-cleanup.md	DELETE	Unfilled placeholders. Sentry+OTel coexistence fully in CLAUDE.md Pièges connus / ADR-045 (absorbed-in-CLAUDE).
2026-05-19-sentry-otel-followups.md	DELETE	Unfilled placeholders. Near-dup of sentry-otel-cleanup; doctrine in CLAUDE.md (absorbed-in-CLAUDE).
2026-05-15-td11-express-types-pin-removal.md	CONSOLIDATE	absorbed-in-CLAUDE (this audit) — @types pin needs direct devDep gotcha promoted to Pièges connus. Prune source after curator digest.
2026-05-05-f3-museumsheet-refactor.md	CONSOLIDATE	mergeable — sole nugget I18nTranslator-vs-TFunction hook arg choice; rest run telemetry. Digest into LESSONS_DIGEST.
2026-05-10-c2-image-chat-finition.md	CONSOLIDATE	absorbed-in-CLAUDE — LLM cache single-layer + no-flags already in CLAUDE.md + memory. Keep historical only / prune.
2026-05-15-td2-bootstrap-profile-cross-device.md	CONSOLIDATE	mergeable — /auth/me only round-trips 2/4 prefs → split FE/BE insight. Rest run telemetry. Digest.
2026-05-15-td3-maplibre-self-hosted-style.md	CONSOLIDATE	mergeable — CartoDB official style is vector not raster → mismatch nugget. Rest placeholders. Digest.
2026-05-15-td4-prune-retention-integration-tests.md	CONSOLIDATE	mergeable/dup — Docker daemon hung (containerd meta.db I/O). Dup of MEMORY integration-teardown / Docker-contention. Merge.
2026-05-15-td6-chaos-circuit-breaker-half-open.md	CONSOLIDATE	mergeable — only Trigger filled (shared-breaker-instance invariant for swap-proxy test). Thin; digest one invariant.
2026-05-15-td8-cull-3-single-impl-chat-ports.md	CONSOLIDATE	mergeable — commit landed under unrelated msg masking content + GitNexus can't resolve interface names (grep fallback). Digest.
2026-05-15-td9-mobile-test-fix.md	CONSOLIDATE	mergeable/dup — UFR-017 case study (TD-9 stale, already fixed by f795ed4dc). Echoes existing memory. Merge.
2026-05-19-tanstack-zustand-polish.md	CONSOLIDATE	mergeable/dup — concurrent-worktree contamination of working tree → hook FAIL misattribution. Echoes worktree gotchas. Digest.
